# cl_noweight cl_linear cl_neuralnet
7.763785294886369658e-16 9.761356128334825884e-16 1.068594828262077691e-15
1.149760382073997870e-04 1.407486400761329812e-06 7.233030269459791970e-07
2.277737693905400372e-04 7.582162977442492414e-06 1.588434936241580151e-06
2.385967974858745554e-04 1.430952660298514559e-05 1.984864861162615666e-06
1.676998688792787691e-04 1.528261177354531245e-05 2.035919592784846949e-06
1.009914211921345917e-04 1.293635038963072261e-05 2.408412080890661370e-06
7.468010447437306468e-05 1.179329161834670763e-05 3.255548749469482536e-06
6.512832061459034125e-05 1.124826453276018331e-05 4.179344190294761907e-06
5.570887401441992285e-05 1.114123659774262749e-05 5.262832097446448727e-06
5.158040797959048386e-05 1.281761436784581325e-05 6.927810647710361804e-06
5.094372963645877185e-05 1.412751164862567079e-05 8.775630850994655741e-06
4.668909796644060998e-05 1.291809795572382812e-05 9.932608674873904546e-06
4.060454824484889205e-05 1.140033298817015511e-05 1.033362347086312854e-05
3.570253208124849804e-05 1.125054276454086931e-05 1.038249562315115559e-05
3.043791816280809909e-05 1.091586098021228877e-05 1.016563504033686476e-05
2.507953567152147804e-05 1.004794107066880036e-05 1.014494901390227122e-05
2.114819223275690526e-05 1.005417771895057264e-05 1.091859110512139780e-05
1.759526287206645726e-05 1.046281870249083896e-05 1.144731976179072100e-05
1.403025812817172989e-05 9.857608736171608662e-06 1.021338248718551971e-05
1.200484489589798594e-05 8.939313804231144070e-06 8.397484579468857862e-06
1.146871940136461842e-05 9.113180970206296197e-06 8.312493139235353426e-06
1.078307863616965323e-05 9.712130200964404621e-06 9.196195459798160713e-06
9.400619176897001474e-06 9.234622901193810903e-06 8.695636376492201574e-06
8.086320409698810445e-06 8.206150255805795952e-06 7.357900573775379635e-06
7.916741069098659595e-06 8.484167196541539532e-06 7.490150753801950741e-06
9.309948234541920518e-06 1.000754249728118000e-05 8.879030066291107053e-06
1.095750484082245491e-05 1.050187530036985351e-05 9.186597968100423055e-06
1.096474325491284213e-05 8.887763392702128514e-06 7.719268447438882856e-06
9.735312692622174154e-06 6.920521636165433355e-06 6.317128372976063222e-06
9.538699218884058622e-06 6.513621454731398434e-06 6.600652784989355661e-06
1.067411570026514058e-05 7.157880687166085836e-06 7.809420307509827656e-06
1.094925557591616844e-05 7.228627566212450225e-06 8.135798316000264618e-06
9.643737189675764370e-06 6.575565639206124370e-06 7.407613898027327230e-06
8.663164313593687882e-06 6.296363670867324581e-06 6.992318022380253736e-06
8.884224702067101558e-06 6.591142205617420933e-06 7.354846101213463020e-06
8.773198927138102100e-06 6.495833538316750541e-06 7.408474352648729421e-06
7.652656294232842237e-06 5.798352193602135339e-06 6.517771614148822241e-06
7.167628611596491948e-06 5.676338968945083874e-06 5.755284404314483372e-06
8.279286038305161451e-06 6.752875712447616419e-06 6.264016739203123927e-06
9.426185743900031917e-06 7.816281819640392731e-06 7.230756496650860995e-06
9.156559464440214085e-06 7.648883718746294643e-06 7.153717247203355031e-06
8.503286743188251645e-06 7.005679775521831284e-06 6.538663597323382514e-06
8.950482714215230945e-06 7.217134164076851886e-06 6.921736025371832926e-06
9.805570007529537809e-06 7.956273731676849690e-06 7.932080527174487119e-06
9.657736907075413916e-06 8.177004464404296355e-06 8.146125666605854248e-06
8.880521946888605880e-06 8.045055222911887556e-06 7.741431502601447853e-06
8.745858977698345776e-06 8.274873162237953594e-06 7.742055739007589857e-06
9.489068569639161888e-06 8.822220874031192110e-06 8.172872926779761981e-06
1.049897639066616589e-05 9.315483389933417382e-06 8.623605212647421760e-06
1.113742636391900735e-05 9.599658749252487752e-06 8.966336718400656349e-06
1.114921684876165037e-05 9.619251512594294236e-06 9.060026219530125735e-06
1.109031664461799710e-05 9.578866757526563431e-06 9.033785707819521894e-06
1.150742821667241287e-05 9.692854528844065993e-06 9.218547100299468591e-06
1.175166965492580691e-05 9.681380547639616621e-06 9.359307433521444998e-06
1.123348448034931101e-05 9.421288676297166171e-06 9.152454502355110471e-06
1.074181524676028305e-05 9.298771380542328687e-06 8.992385010221691518e-06
1.080969183075774915e-05 9.229332475542932076e-06 9.028088653622731247e-06
1.082181232070043790e-05 8.914608740334193567e-06 8.905331795634207796e-06
1.070718853797131807e-05 8.955808755184765387e-06 8.860287111875886324e-06
1.084224998553791641e-05 9.631103715115117733e-06 9.141441762806697162e-06
1.049050650054083567e-05 9.706750115690377124e-06 8.941307159064897629e-06
9.079777601994922610e-06 8.554718052120339946e-06 7.853553799824186226e-06
7.726210162700093955e-06 7.460208890381969521e-06 6.928076915257486166e-06
7.362336225783563305e-06 7.259116537511289249e-06 6.797410853135213360e-06
7.376079875575359346e-06 7.191886840568885359e-06 6.750154583150197019e-06
7.248349937332279069e-06 6.907809649679307630e-06 6.435655358090914707e-06
7.259018488813733139e-06 6.986195600178918184e-06 6.364044521593220800e-06
7.262581951908691013e-06 7.288393585147605112e-06 6.533759691405798682e-06
6.778819419016068677e-06 7.055967926575494287e-06 6.382215628467177640e-06
6.143022654279307955e-06 6.439415982478936439e-06 5.939174868084105846e-06
6.154063651665538821e-06 6.277955995498107471e-06 5.776304746351062261e-06
6.873653092905943696e-06 6.732325229567503437e-06 6.088031513891553267e-06
7.572973461888249078e-06 7.198243305627865534e-06 6.517142574716308126e-06
7.608403100333424876e-06 7.188238448247195322e-06 6.635616714156859392e-06
6.946331602307568633e-06 6.656159036800498609e-06 6.274164005906784111e-06
6.015554462024722175e-06 5.821463768697710297e-06 5.580520628957408169e-06
5.308640093561170281e-06 5.092151164513976642e-06 4.936687989254702854e-06
5.057152609665851732e-06 4.828193890476358902e-06 4.693837087543369329e-06
5.141837439087343091e-06 4.949055277670042925e-06 4.856526607325996365e-06
5.294412434985498774e-06 5.078424255917235831e-06 5.085047759651262186e-06
5.387892654794208100e-06 5.099312454432196974e-06 5.123805353412755990e-06
5.559120439809450078e-06 5.265200538516408086e-06 5.201085042670422140e-06
5.991850902479878211e-06 5.767072023387648087e-06 5.709164049657732771e-06
6.434862230080264419e-06 6.314118472944214221e-06 6.363427982511201322e-06
6.298125423466682434e-06 6.325410279114945918e-06 6.336169936252462191e-06
5.652447997631577221e-06 5.788546118685021315e-06 5.616431405441018313e-06
5.419073416820706788e-06 5.496861418098993863e-06 5.245018827703202913e-06
5.985423683463636980e-06 5.914340868196856258e-06 5.700872773244155700e-06
6.575704336488538163e-06 6.445709209553380833e-06 6.212813735956179496e-06
6.411921339784766687e-06 6.315291418445179674e-06 5.998571943215624115e-06
5.640710584649192637e-06 5.551311734775739991e-06 5.207320816409985348e-06
5.107594582061437056e-06 4.945454911168328254e-06 4.660217168712000113e-06
5.522592497859043517e-06 5.234659820167589260e-06 5.007050072200673999e-06
6.417819289191455466e-06 6.044010238049765030e-06 5.776649511138343795e-06
6.496876941487174071e-06 6.150822369226752183e-06 5.779442193783885949e-06
5.582130023803078345e-06 5.280823799573849520e-06 4.880380724562721107e-06
4.827281939690351497e-06 4.459631315263979330e-06 4.144933859191403203e-06
4.778358623487190695e-06 4.328343343988308641e-06 4.116323945749594320e-06
4.995639922785023200e-06 4.582976957991486952e-06 4.414298843696368193e-06
5.172060960832688279e-06 4.816230702007359373e-06 4.643418429333004356e-06
5.138626354136243462e-06 4.756052621001822874e-06 4.582900662724067330e-06
4.772489409582922630e-06 4.414938559158543048e-06 4.258603777698344592e-06
4.533289159683772036e-06 4.325782412562080359e-06 4.162537278732651605e-06
4.793258085616846466e-06 4.669177090190384019e-06 4.497054884715122740e-06
4.978055343213161913e-06 4.765606709111380004e-06 4.661751064663870045e-06
4.632791308982887028e-06 4.329123186217611889e-06 4.319254820055272601e-06
4.378498192065016441e-06 4.095300550907289257e-06 4.086302252182892485e-06
4.793740085694921904e-06 4.552863013432501419e-06 4.494782547159254946e-06
5.457872883368925066e-06 5.225863751299693517e-06 5.178739053801451738e-06
5.860592991036463010e-06 5.635547166779244767e-06 5.638965718859863882e-06
6.207316373594604263e-06 5.959383158093727754e-06 5.983070739762449290e-06
6.666469070823990547e-06 6.349343657826761544e-06 6.361823022610239477e-06
6.824777152453706835e-06 6.489954584233135775e-06 6.487135961633880083e-06
6.501116933413234144e-06 6.274874729187851547e-06 6.254200306699941684e-06
6.117057904431240598e-06 6.069745370705197842e-06 6.011717798686069530e-06
5.926430283194373280e-06 6.015850539354080646e-06 5.903273932373374422e-06
5.824574173369045810e-06 5.922015698711082668e-06 5.753839687937166935e-06
5.801627701403258062e-06 5.780983322523991166e-06 5.554096173941184357e-06
5.888447942982339555e-06 5.727464633137312234e-06 5.467220973466917269e-06
6.100823035594043598e-06 5.856252619038963851e-06 5.645622313349842969e-06
6.528706115099446019e-06 6.239924488256526537e-06 6.126165774691253040e-06
6.988829378122672772e-06 6.683451451726384762e-06 6.627105939227049816e-06
7.114705926759071479e-06 6.851369244097389291e-06 6.823273161908453752e-06
6.938081784753606589e-06 6.767262162179452563e-06 6.767053616539182486e-06
6.629686088779855359e-06 6.547381777943365636e-06 6.534007943058721563e-06
6.130938196665215731e-06 6.088165706397903371e-06 6.021876911318649235e-06
5.609419279450441299e-06 5.543659155774560097e-06 5.439277791106566240e-06
5.439067343727007488e-06 5.308813994263301507e-06 5.194954839336770557e-06
5.601880104099037983e-06 5.408220399078112679e-06 5.317106743717592643e-06
5.768935415101410363e-06 5.562354574851498568e-06 5.525206995684424770e-06
5.704178763073102856e-06 5.571310490109145345e-06 5.558550968707286525e-06
5.459772160942051018e-06 5.447265893172665308e-06 5.392027808732549111e-06
5.424324572431987310e-06 5.481526416057846480e-06 5.374269647750041803e-06
5.803656175457954257e-06 5.869567716656474975e-06 5.748044238577147524e-06
6.244686405133046249e-06 6.331811342747015239e-06 6.210510486057291832e-06
6.488298899171725469e-06 6.601983696979432457e-06 6.480137909366537614e-06
6.695310836689487366e-06 6.774448823746813347e-06 6.673362475484927064e-06
6.906618771145630887e-06 6.920079904845285498e-06 6.853675593221864187e-06
7.024174787859794914e-06 7.020331918185794448e-06 6.954033545992171052e-06
7.031847197278645207e-06 7.037835103970155696e-06 6.935007728858743776e-06
6.769712232675870530e-06 6.729329555050616836e-06 6.623301317547435894e-06
6.192537678763996709e-06 6.053411657038206025e-06 6.016457748744084093e-06
5.692606097746532403e-06 5.492384387019166169e-06 5.547534039129320920e-06
5.479280113506279599e-06 5.285635119747895228e-06 5.380259602207757451e-06
5.317189659563666931e-06 5.134247583551455116e-06 5.184613956209033860e-06
5.141572919481831889e-06 4.944565000031436085e-06 4.912995499453723460e-06
5.082345359733735016e-06 4.882207187596508078e-06 4.802941612289646269e-06
5.107405924808667758e-06 4.923694939239299019e-06 4.826858504575375648e-06
5.205357224527233972e-06 5.049243591854940977e-06 4.935167492320972985e-06
5.384418527678816055e-06 5.275066576538471120e-06 5.182361398294710371e-06
5.461270396314880574e-06 5.384821422420961488e-06 5.341788638844270680e-06
5.395293474656654327e-06 5.307307644142641386e-06 5.251181444565736521e-06
5.420196123715021824e-06 5.331649108958865610e-06 5.234134701057456771e-06
5.588385666075108135e-06 5.535519318129171433e-06 5.474265840450812965e-06
5.747393726872269155e-06 5.696923279086989322e-06 5.679227585056416829e-06
5.813608263285081355e-06 5.737764837022670591e-06 5.668474015706624843e-06
5.695259774991332110e-06 5.653973068312021232e-06 5.523915518559180157e-06
