# cl_noweight cl_linear cl_neuralnet
1.181008364388190538e-14 1.339370805537272970e-14 1.310561745366959379e-14
5.730202645233584710e-05 2.606814667447324157e-06 7.127889177391191409e-09
1.397513487474217806e-04 5.304439579364827346e-06 6.315014852892919241e-07
2.085829042523055642e-04 6.265966762882921884e-06 2.520099575453479484e-06
2.436007104689302003e-04 6.275673758979105500e-06 5.503206127508194340e-06
2.466149347970248156e-04 6.942099856137788013e-06 8.286389042079044095e-06
2.279050679134834382e-04 8.120229097950517266e-06 9.338052225850029142e-06
1.950036449374600346e-04 8.223586333570716189e-06 8.290126378154057734e-06
1.529743513073459011e-04 6.648196162517545166e-06 6.283308463403620877e-06
1.092410543087436254e-04 4.717462422237566903e-06 4.790835397448848174e-06
7.369502589783081419e-05 4.054951305085260642e-06 4.293017478944284506e-06
5.359706607006832978e-05 4.815977746670365259e-06 4.234526200714966992e-06
4.891107152849337388e-05 5.866569960020876142e-06 3.977399366693905329e-06
5.239308933578893393e-05 6.167126514094268879e-06 3.440396164570012705e-06
5.456132710156924137e-05 5.575981832071253060e-06 2.941162714500133521e-06
5.014907201511224083e-05 4.641058974739113286e-06 2.819602732496435244e-06
4.101454157079771943e-05 4.045951427639032973e-06 3.258857440941003237e-06
3.291503739581896416e-05 4.147868014657876024e-06 4.148922056516257010e-06
2.948783305657086000e-05 4.744832908284534697e-06 5.014658022662157005e-06
2.972735278608049843e-05 5.311674277559881234e-06 5.340947912329562018e-06
3.073114716545756919e-05 5.595421900622886076e-06 5.118365833034038897e-06
3.115929976255657832e-05 5.842583859187125433e-06 4.869283066021991829e-06
3.126012409989137618e-05 6.296956985056387984e-06 5.003389537354669509e-06
3.101097073649642462e-05 6.713280996246132367e-06 5.365247910286524398e-06
2.994810903580766740e-05 6.677912534685466482e-06 5.592168134689839972e-06
2.838605471047384488e-05 6.251016141830232847e-06 5.667264954428588153e-06
2.720773271446326632e-05 5.886746242165267703e-06 5.801159448334658380e-06
2.630394455303027210e-05 5.752138579313619695e-06 5.932587935673215567e-06
2.450845578076395697e-05 5.572780354543860291e-06 5.786139310145859121e-06
2.145910194364620147e-05 5.264852046699984734e-06 5.452859041456600622e-06
1.838508795234597556e-05 5.257628312060022093e-06 5.467591194834991523e-06
1.640584313642449765e-05 5.857558885679712893e-06 6.073265733634206648e-06
1.500663742599279053e-05 6.618414344611208352e-06 6.737243736775162938e-06
1.312543937151993289e-05 6.822615748388609893e-06 6.771412566481288496e-06
1.107932792685695237e-05 6.488289056400429211e-06 6.280948016482979861e-06
1.021892450350932531e-05 6.405471555568988625e-06 6.080001130782591413e-06
1.081246734857233842e-05 7.063405003569714826e-06 6.633209236847617736e-06
1.141186726554435092e-05 7.960011747485545931e-06 7.464732868211599929e-06
1.067312896850925694e-05 8.259016991213169763e-06 7.819539351410087158e-06
9.047558679937447917e-06 7.878976663058227605e-06 7.643207321093457087e-06
8.182142186728806960e-06 7.576733442467910102e-06 7.596548333967798584e-06
9.115093076151618962e-06 8.025052593660333248e-06 8.196628152806676972e-06
